,Конкурсн. группа,Профессия
0,Прикладная математика и информатика,Инженер-математик
1,Информатика и вычислительная техника. Искусственный интеллект,Инженер по разработке комплексных аппаратно-программных систем
2,Информатика и вычислительная техника. Компьютерное моделирование и проектирование,Инженер-проектировщик
3,Информационные системы и технологии,Тимлид
4,Программная инженерия,Разработчик компьютерных программ (программист)
5,Компьютерная безопасность,IT-специалист
6,Радиотехника. Системы компьютерного зрения,Разработчик прикладных телевизионных систем для различных направлений промышленности
7,"Радиотехника. Цифровые системы локации, связи и навигации",Проектировщик радиоэлектронной техники
8,Инфокоммуникационные технологии и системы связи,Инженер-проектировщик
9,Конструирование и технология электронных средств,Инженер-конструктор
10,Электроника и наноэлектроника,Проектировщик/разработчик современной электроники микропроцессорной техники
11,Радиоэлектронные системы и комплексы,Инженер радиоэлектроники
12,Приборостроение. Интеллектуальные системы,Разработчик-исследователь
13,Биотехнические системы и технологии,Инженер по ремонту и обслуживанию медтехники
14,Электроэнергетика и электротехника,Инженер-программист
15,Мехатроника и робототехника,Инженер-проектировщик мобильных роботов
16,Техносферная безопасность,Инженер-эколог
17,Системный анализ и управление,Системный аналитик
18,Управление в технических системах. Компьютерные интеллектуальные технологии управления в технических системах,Инженер-программист
19,Управление в технических системах. Автоматика и робототехнические системы,Инженеры АСУ ТП
20,Инноватика,Бизнес-аналитик
21,Нанотехнологии и микросистемная техника,Разработчик интегральных схем
22,Менеджмент,"Предприниматель, создающий и развивающий собственное дело (стартап)"
23,Реклама и связи с общественностью,Специалист по связям с общественностью
24,Лингвистика,Преподаватель
